HOSPCODE,PATCODE,MSA,region_midwest,region_northeast,region_south,region_west,emred_all,emred_part,emred_unk,hhsmue_yes,hhsmue_no,hhsmue_na,hhsmue_unk,p_ehrinse,edprim_freq,edinfo_yes,edinfo_no,edinfo_unk,edinfo_na,obsphysed_marked,obsphysed_notmarked,obsphysed_na,ambdiv,divhr_500,divhr_499,divhr_99,divhr_na,divhr_unk,edinfo,obsclin,obssep,board,boardhos,regdiv,admdiv,incshx,incphys,expspace,bedreg,kioselchk,catriage,imbed,advtriag,physpractria,fasttrak,edptor,dashbord,rfid,wireless,zonenurs,poolnurs,bedczar,hlist,hlisted,emedres,obsphysed_yes,obsphysed_no,obshosp_yes,obshosp_no,obshosp_na,obsphysot_yes,obsphysot_no,obsphysot_na,obsphysun_yes,obsphysun_no,obsphysun_na,surgday,beddata_instant
34,76,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,77,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,78,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,79,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,80,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,81,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,82,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,83,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,84,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,85,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,86,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,87,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,88,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
34,89,1,0,1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,5,1
